0,1,2,3,4,5,6,7,8,9,10,11,12
-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0,1057.0,777.0,11.0
1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0,1057.0,777.0
27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0,1057.0
1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0,584.0
826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0,1005.0
822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0,-5221.0
1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0,1654.0
-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0,320.0
1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0,730.0
-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0,789.0
897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0,1119.0
1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0,926.0
827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0,-5665.0
996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0,1772.0
-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0,27.0
1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0,1041.0
-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0,826.0
1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0,822.0
2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0,1006.0
848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0,-5472.0
998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0,1857.0
-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0,-103.0
1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0,897.0
172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0,1168.0
894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0,827.0
1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0,996.0
1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0,-5408.0
1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0,1727.0
-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0,-429.0
1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0,1316.0
194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0,2733.0
919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0,848.0
1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0,998.0
824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0,-6138.0
1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0,1827.0
-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0,172.0
2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0,894.0
-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0,1173.0
1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0,1005.0
1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0,1025.0
962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0,-6147.0
942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0,1987.0
-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0,194.0
1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0,919.0
-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0,1128.0
1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0,824.0
4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0,1014.0
1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0,-6203.0
998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0,2242.0
-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0,-329.0
2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0,1215.0
109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0,1143.0
698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0,962.0
1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0,942.0
1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0,-5922.0
1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0,1875.0
-7441.0,1139.0,1160.0,1548.0,698.0,109.0,2392.0,-6988.0,998.0,1057.0,4509.0,1092.0,-103.0
